"educ","cigprice","age","income","cigs","law"
16,60.506,46,20000,0,0
16,57.883,40,30000,0,0
12,57.664,58,30000,3,0
13.5,57.883,30,20000,0,0
10,58.32,17,20000,0,0
6,59.34,86,6500,0,0
12,57.883,35,20000,0,0
15,57.883,48,30000,0,0
12,59.195,48,20000,0,0
12,58.028,31,20000,0,0
13.5,57.883,27,30000,10,0
12,60.288,24,20000,20,0
10,57.883,71,8500,30,0
6,58.028,44,30000,0,0
16,60.746,22,30000,0,0
12,60.071,29,20000,20,0
12,60.282,33,20000,0,0
12,60.704,34,20000,30,0
13.5,59.86,30,8500,0,0
10,60.324,48,30000,20,0
6,59.045,61,5500,0,0
18,60.294,49,30000,0,0
12,59.045,33,20000,0,0
16,60.632,24,30000,0,1
16,61.744,36,30000,0,1
15,60.862,39,20000,12,1
18,61.399,38,30000,0,1
12,60.823,29,30000,30,1
18,62.012,23,12500,0,1
16,61.322,51,20000,0,1
13.5,62.089,28,20000,0,1
10,61.015,47,12500,30,1
10,62.489,80,12500,0,1
10,61.667,62,30000,2,1
10,62.012,51,12500,0,1
10,61.667,51,20000,35,1
12,61.053,69,12500,0,1
12,61.092,28,8500,0,1
18,61.974,38,20000,0,1
15,61.168,30,30000,0,1
18,60.862,32,30000,25,1
8,61.629,71,12500,0,1
10,62.489,18,20000,0,1
13.5,62.089,26,8500,15,1
10,61.744,30,20000,20,1
12,60.67,19,3500,0,1
12,61.168,19,6500,20,1
13.5,61.245,21,1500,0,1
16,62.089,44,20000,0,1
10,60.555,69,30000,30,1
16,60.555,53,20000,0,1
8,62.241,53,12500,20,1
6,61.705,38,6500,10,1
10,60.555,49,30000,20,1
18,61.437,24,20000,0,1
16,61.322,57,8500,0,1
15,61.168,28,20000,0,1
12,61.207,32,20000,20,1
13.5,60.823,55,20000,0,1
13.5,60.632,47,30000,0,1
13.5,60.785,26,20000,0,1
10,60.555,26,6500,20,1
16,60.708,61,30000,0,1
10,60.67,48,20000,0,1
18,62.736,32,30000,0,1
16,62.089,29,12500,0,1
18,62.571,47,30000,0,1
10,60.708,62,20000,0,1
16,62.159,30,8500,0,1
13.5,61.667,21,20000,0,1
12,61.207,28,2500,0,1
12,61.053,50,30000,20,1
12,61.475,69,6500,0,1
13.5,61.629,37,20000,60,1
12,61.744,40,30000,20,1
6,61.437,47,20000,3,1
10,61.936,78,2500,0,1
18,61.744,38,30000,0,1
13.5,62.489,25,30000,0,1
12,61.322,67,8500,0,1
13.5,60.9,50,30000,12,1
13.5,61.552,47,30000,0,1
8,62.489,76,6500,0,1
8,60.785,28,30000,0,1
12,61.514,32,20000,0,1
12,61.897,28,20000,0,1
12,61.168,53,30000,20,1
12,60.823,57,20000,0,1
18,61.59,42,30000,0,1
15,61.092,49,12500,0,1
18,61.782,31,20000,25,1
12,61.437,20,8500,0,1
18,61.897,45,20000,40,1
18,60.555,63,30000,0,1
15,61.705,61,30000,0,1
13.5,61.859,35,12500,30,1
6,61.705,59,12500,0,1
10,62.654,17,8500,0,1
18,62.736,38,30000,0,1
13.5,61.245,41,30000,0,1
12,61.897,35,30000,0,1
12,61.59,40,30000,0,1
13.5,62.571,37,30000,0,1
12,62.406,27,5500,13,1
12,60.862,48,20000,0,1
12,62.089,18,30000,0,1
12,60.862,43,20000,0,1
10,62.012,20,3500,0,1
8,60.823,19,12500,1,1
13.5,60.708,22,12500,0,1
16,60.708,60,20000,0,1
13.5,61.744,47,30000,0,1
10,61.629,77,20000,0,1
13.5,61.36,26,20000,0,1
12,62.654,37,20000,20,1
13.5,62.159,40,30000,15,1
6,61.284,44,8500,0,1
6,62.012,65,2500,0,1
16,60.9,26,30000,0,1
8,60.862,77,20000,0,1
12,61.207,73,12500,0,1
10,60.938,64,30000,0,1
13.5,61.629,28,30000,0,1
13.5,60.862,26,30000,20,1
10,61.092,64,20000,20,1
12,61.667,29,6500,0,1
12,61.974,55,20000,40,1
12,62.736,54,30000,0,1
15,61.207,42,20000,10,1
13.5,62.736,70,12500,0,1
16,61.284,71,20000,0,1
12,61.744,24,30000,0,1
10,61.859,38,20000,20,1
15,61.936,73,6500,0,1
18,60.823,29,30000,0,1
13.5,60.555,24,20000,0,1
12,61.437,25,8500,0,1
15,62.089,22,20000,0,1
12,61.475,36,12500,5,1
12,53.624,28,20000,0,0
13.5,53.313,27,6500,40,0
13.5,55.185,28,4500,8,0
12,53.382,53,20000,0,0
13.5,54.984,23,30000,15,0
12,53.969,19,12500,15,0
15,54.314,25,20000,0,0
13.5,54.648,34,12500,20,0
13.5,54.141,20,30000,0,0
10,54.314,17,20000,0,0
16,66.587,51,30000,20,1
12,65.29,44,30000,30,1
12,65.29,29,20000,60,1
8,66.088,65,30000,0,1
12,65.29,53,30000,0,1
8,67.933,46,20000,0,1
18,65.29,51,30000,0,1
18,65.54,66,30000,0,1
8,64.991,42,20000,0,1
16,65.141,32,8500,40,1
13.5,66.437,53,30000,25,1
8,66.038,70,30000,0,1
10,65.889,30,20000,30,1
18,65.889,42,30000,0,1
12,66.537,69,30000,0,1
10,66.437,18,5500,0,1
12,68.184,22,12500,10,1
6,66.687,38,20000,40,1
10,66.437,52,20000,20,1
10,65.141,17,30000,0,1
12,65.041,46,20000,0,1
16,66.587,46,30000,0,1
12,66.038,35,30000,0,1
12,66.338,22,30000,16,1
12,61.546,54,20000,20,0
12,61.184,58,12500,40,0
10,62.012,27,12500,15,0
18,61.184,47,20000,40,0
16,62.012,53,30000,40,0
12,65.082,29,8500,10,0
13.5,67.82,29,8500,0,0
13.5,68.2,47,30000,0,0
8,69.402,67,30000,10,0
18,69.402,31,30000,0,0
12,67.124,27,8500,0,0
12,68.263,34,3500,0,0
10,68.516,25,20000,0,0
12,67.82,46,20000,30,0
16,67.82,50,12500,50,0
6,67.757,69,8500,0,0
13.5,67.82,32,12500,0,0
12,67.693,64,8500,0,0
15,67.947,30,20000,0,0
8,68.073,78,12500,0,0
13.5,69.149,46,12500,0,0
13.5,69.529,49,30000,60,0
12,70.014,30,12500,0,0
10,68.833,23,2500,20,0
12,69.402,27,20000,15,0
18,68.39,28,30000,20,0
10,69.592,26,5500,30,0
6,67.693,44,12500,0,0
13.5,69.402,54,30000,30,0
12,69.841,54,8500,0,0
12,69.899,66,6500,13,0
18,67.883,49,30000,0,0
16,67.44,77,6500,0,0
12,68.896,74,12500,0,0
18,69.465,69,30000,0,0
13.5,68.643,78,30000,0,0
13.5,68.39,57,30000,20,0
8,70.129,53,8500,0,0
16,67.314,88,30000,0,0
12,67.187,79,20000,0,0
12,57.473,21,8500,0,0
18,58.094,30,8500,0,0
